city;lat;lng
Moscow;55.7558;37.6172
Saint Petersburg;59.9375;30.3086
Novosibirsk;55.0500;82.9500
Yekaterinburg;56.8356;60.6128
Kazan;55.7964;49.1089
Nizhniy Novgorod;56.3269;44.0075
Chelyabinsk;55.1547;61.3758
Omsk;54.9833;73.3667
Samara;53.2028;50.1408
Rostov;47.2225;39.7100
Ufa;54.7261;55.9475
Krasnoyarsk;56.0089;92.8719
Voronezh;51.6717;39.2106
Perm;58.0000;56.3167
Volgograd;48.7086;44.5147
Krasnodar;45.0333;38.9667
Tyumen;57.1500;65.5333
Saratov;51.5333;46.0167
Tolyatti;53.5089;49.4222
Makhachkala;42.9667;47.4833
Izhevsk;56.8333;53.1833
Barnaul;53.3486;83.7764
Ulyanovsk;54.3167;48.3667
Irkutsk;52.2833;104.2833
Khabarovsk;48.4833;135.0833
Yaroslavl;57.6167;39.8500
Vladivostok;43.1333;131.9000
Tomsk;56.5000;84.9667
Orenburg;51.7833;55.1000
Kemerovo;55.3667;86.0667
Novokuznetsk;53.7667;87.1333
Ryazan’;54.6300;39.7425
Naberezhnyye Chelny;55.6833;52.3167
Astrakhan;46.3500;48.0350
Penza;53.2000;45.0000
Lipetsk;52.6167;39.6000
Kirov;58.6000;49.6833
Kaliningrad;54.7003;20.4531
Cheboksary;56.1500;47.2333
Balashikha;55.8167;37.9667
Tula;54.2000;37.6167
Kursk;51.7167;36.1833
Stavropol’;45.0500;41.9833
Ulan-Ude;51.8333;107.6000
Tver;56.8625;35.9242
Magnitogorsk;53.3833;59.0333
Sochi;43.5853;39.7203
Ivanovo;56.9967;40.9819
Bryansk;53.2333;34.3667
Surgut;61.2500;73.4333
Nizhny Tagil;57.9167;59.9667
Vladimir;56.1286;40.4058
Arkhangel’sk;64.5333;40.5333
Chita;52.0500;113.4667
Belgorod;50.6000;36.6000
Kaluga;54.5500;36.2833
Volzhsky;48.8056;44.7417
Smolensk;54.7828;32.0453
Saransk;54.1833;45.1833
Cherepovets;59.1167;37.9000
Vologda;59.2167;39.9000
Yakutsk;62.0300;129.7300
Kurgan;55.4667;65.3500
Vladikavkaz;43.0400;44.6775
Or_l;52.9686;36.0694
Podolsk;55.4311;37.5456
Grozny;43.3125;45.6986
Tambov;52.7231;41.4539
Sterlitamak;53.6333;55.9500
Nizhnevartovsk;60.9500;76.6000
Petrozavodsk;61.7833;34.3333
Kostroma;57.7681;40.9269
Novorossiysk;44.7167;37.7833
Murmansk;68.9706;33.0750
Yoshkar-Ola;56.6500;47.8833
Nalchik;43.4833;43.6167
Engels;51.5017;46.1222
Khimki;55.8892;37.4450
Taganrog;47.2167;38.9167
Komsomolsk-on-Amur;50.5667;137.0000
Syktyvkar;61.6667;50.8167
Nizhnekamsk;55.6333;51.8167
Shakhty;47.7000;40.2333
Bratsk;56.1167;101.6000
Dzerzhinsk;56.2333;43.4500
Noginsk;64.4833;91.2333
Orsk;51.2000;58.5667
Kolpino;59.7333;30.6000
Blagoveshchensk;50.2500;127.5333
Staryy Oskol;51.3000;37.8333
Angarsk;52.5500;103.9000
Velikiy Novgorod;58.5500;31.2667
Korolev;55.9167;37.8167
Mytishchi;55.9167;37.7667
Pskov;57.8167;28.3333
Lyubertsy;55.6783;37.8944
Biysk;52.5333;85.2167
Yuzhno-Sakhalinsk;46.9667;142.7333
Armavir;45.0000;41.1167
Rybinsk;58.0500;38.8333
Prokop’yevsk;53.8833;86.7167
Balakovo;52.0333;47.7833
Abakan;53.7167;91.4667
Norilsk;69.3333;88.2167
Krasnogorsk;55.8217;37.3386
Syzran;53.1667;48.4667
Volgodonsk;47.5167;42.1500
Ussuriysk;43.8000;131.9667
Kamensk-Ural’skiy;56.4000;61.9333
Novocherkassk;47.4222;40.0939
Zlatoust;55.1667;59.6667
Petropavlovsk-Kamchatsky;53.0167;158.6500
Elektrostal’;55.7833;38.4667
Severodvinsk;64.5667;39.8667
Al’met’yevsk;54.9000;52.3000
Salavat;53.3667;55.9333
Miass;55.0000;60.1000
Orekhovo-Borisovo;55.6000;37.7333
Kopeysk;55.1000;61.6167
Odintsovo;55.6667;37.2667
Pyatigorsk;44.0500;43.0667
Kolomna;55.0833;38.7833
Nakhodka;42.8167;132.8667
Berezniki;59.4167;56.7833
Khasavyurt;43.2500;46.5833
Rubtsovsk;51.5167;81.2000
Maykop;44.6000;40.0833
Kovrov;56.3683;41.3108
Kislovodsk;43.9167;42.7167
Nefteyugansk;61.0833;72.7000
Domodedovo;55.4400;37.7619
Neftekamsk;56.1417;54.4667
Bataysk;47.1667;39.7333
Novocheboksarsk;56.1333;47.5000
Serpukhov;54.9167;37.4000
Shchyolkovo;55.9167;38.0000
Novomoskovsk;54.0833;38.2167
Kaspiysk;42.8803;47.6383
Derbent;42.0500;48.3000
Pervouralsk;56.9167;59.9333
Cherkessk;44.2167;42.0500
Orekhovo-Zuyevo;55.8000;38.9667
Nazran;43.2167;44.7667
Nevinnomyssk;44.6333;41.9333
Ramenskoye;55.5667;38.2167
Dimitrovgrad;54.1833;49.5833
Kyzyl;51.7167;94.4500
Obninsk;55.0931;36.6106
Oktyabrsky;54.4667;53.4667
Novyy Urengoy;66.0833;76.6833
Yessentuki;44.0333;42.8500
Kamyshin;50.0833;45.4000
Murom;55.5667;42.0333
Dolgoprudnyy;55.9333;37.5000
Novoshakhtinsk;47.7667;39.9167
Zhukovsky;55.5972;38.1203
Seversk;56.6000;84.8500
Reutov;55.7622;37.8567
Noyabrsk;63.2000;75.4500
Art_m;43.3667;132.2000
Khanty-Mansiysk;61.0000;69.0000
Pushkino;56.0167;37.8333
Achinsk;56.2817;90.5039
Sergiyev Posad;56.3150;38.1367
Yelets;52.6167;38.4667
Arzamas;55.4000;43.8167
Berdsk;54.7500;83.1000
Elista;46.3167;44.2667
Noginsk;55.8500;38.4333
Novokuybyshevsk;53.1000;49.9333
Zheleznogorsk;52.3333;35.3667
Zelenodolsk;55.8500;48.5167
Gatchina;59.5833;30.1333
Magadan;59.5667;150.8000
Velikiye Luki;56.3333;30.5333
Lobnya;56.0167;37.4833
Buzuluk;52.7833;52.2500
Kineshma;57.4333;42.1333
Kuznetsk;53.1167;46.6000
Yurga;55.7231;84.8861
Ivanteyevka;55.9833;37.9333
Chernogorsk;53.8167;91.3000
Birobidzhan;48.8000;132.9333
Kirovo-Chepetsk;58.5500;50.0000
Georgiyevsk;44.1500;43.4667
Ishim;56.1167;69.5000
Buynaksk;42.8167;47.1167
Gukovo;48.0500;39.9167
Gorno-Altaysk;51.9500;85.9667
Fryazino;55.9500;38.0500
Lytkarino;55.5833;37.9000
Prokhladnyy;43.7500;44.0333
Shuya;56.8500;41.3667
Iskitim;54.6400;83.3061
Klimovsk;55.3667;37.5333
Dzerzhinskiy;55.6333;37.8500
Volzhsk;55.8703;48.3561
Salekhard;66.5333;66.6000
Moskovskiy;55.6000;37.3500
Novovyatsk;58.5083;49.6994
Mozhga;56.4500;52.2167
Kizlyar;43.8500;46.7167
Kotel’niki;55.6617;37.8672
Kanash;55.5069;47.4914
Krasnoznamensk;55.6008;37.0358
Sosnovoborsk;56.1333;93.3667
Morshansk;53.4500;41.8167
Pereslavl’-Zalesskiy;56.7333;38.8500
Mtsensk;53.2833;36.5667
Baksan;43.6825;43.5339
Protvino;54.8833;37.2167
Kasimov;54.9333;41.4000
Kokhma;56.9311;41.0889
Kotovsk;52.5833;41.5167
Dagestanskiye Ogni;42.1167;48.1833
Shumerlya;55.5333;46.3833
Udomlya;57.8833;35.0000
Desnogorsk;54.1500;33.2833
Losino-Petrovskiy;55.8744;38.2017
Nar'yan-Mar;67.6333;53.0500
Kraskovo;55.6586;37.9869
Karachayevsk;43.7731;41.9169
Koz’modem’yansk;56.3367;46.5711
Kirsanov;52.6500;42.7333
Anadyr;64.7333;177.5167
Udelnaya;55.6355;38.0479
Kudrovo;59.9000;30.5167
Pionerskiy;54.9517;20.2333
Khasanya;43.4333;43.5750
Magas;43.1667;44.8000
